STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065465,"AXIM, GH",2020/4/30,,83,90,
GHM00065465,"AXIM, GH",2020/5/1,,82,89,
GHM00065465,"AXIM, GH",2020/5/2,,85,91,78
GHM00065465,"AXIM, GH",2020/5/3,,84,92,
GHM00065465,"AXIM, GH",2020/5/4,,84,90,
GHM00065465,"AXIM, GH",2020/5/5,,84,91,78
GHM00065465,"AXIM, GH",2020/5/6,,84,91,
GHM00065465,"AXIM, GH",2020/5/7,,86,91,
GHM00065465,"AXIM, GH",2020/5/8,,83,89,80
GHM00065465,"AXIM, GH",2020/5/9,,86,90,81
GHM00065465,"AXIM, GH",2020/5/10,,86,90,
GHM00065465,"AXIM, GH",2020/5/12,0.08,80,91,76
GHM00065465,"AXIM, GH",2020/5/13,0,84,90,79
GHM00065465,"AXIM, GH",2020/5/14,,84,90,78
GHM00065465,"AXIM, GH",2020/5/16,,84,,80
GHM00065465,"AXIM, GH",2020/5/17,,83,,
GHM00065465,"AXIM, GH",2020/5/18,,84,,78
GHM00065465,"AXIM, GH",2020/5/19,0.08,83,89,77
GHM00065465,"AXIM, GH",2020/5/20,0.24,84,,78
GHM00065465,"AXIM, GH",2020/5/21,0,84,88,81
GHM00065465,"AXIM, GH",2020/5/23,0.35,82,89,73
GHM00065465,"AXIM, GH",2020/5/24,0.02,82,88,78
GHM00065465,"AXIM, GH",2020/5/25,0,81,88,
GHM00065465,"AXIM, GH",2020/5/26,1.54,81,88,73
GHM00065465,"AXIM, GH",2020/5/27,0.08,79,87,78
GHM00065465,"AXIM, GH",2020/5/28,0,83,88,
GHM00065465,"AXIM, GH",2020/5/29,,81,87,
GHM00065465,"AXIM, GH",2020/5/30,,80,,77
GHM00065465,"AXIM, GH",2020/5/31,0,81,88,76
GHM00065465,"AXIM, GH",2020/6/1,,82,,
GHM00065465,"AXIM, GH",2020/6/2,,81,88,
GHM00065465,"AXIM, GH",2020/6/3,,83,89,73
GHM00065465,"AXIM, GH",2020/6/4,,82,87,
GHM00065465,"AXIM, GH",2020/6/5,,81,87,75
GHM00065465,"AXIM, GH",2020/6/6,,81,,
GHM00065465,"AXIM, GH",2020/6/7,,81,88,77
GHM00065465,"AXIM, GH",2020/6/8,,82,87,76
GHM00065465,"AXIM, GH",2020/6/9,1.65,80,85,74
GHM00065465,"AXIM, GH",2020/6/12,0.03,78,83,77
GHM00065465,"AXIM, GH",2020/6/13,0.2,81,,78
GHM00065465,"AXIM, GH",2020/6/14,0.94,78,83,76
GHM00065465,"AXIM, GH",2020/6/15,0,82,86,
GHM00065465,"AXIM, GH",2020/6/16,,82,89,78
GHM00065465,"AXIM, GH",2020/6/18,0.43,79,82,76
GHM00065465,"AXIM, GH",2020/6/19,2.68,80,86,76
GHM00065465,"AXIM, GH",2020/6/20,0,82,85,76
GHM00065465,"AXIM, GH",2020/6/21,0.67,77,,72
GHM00065465,"AXIM, GH",2020/6/22,0,81,85,
GHM00065465,"AXIM, GH",2020/6/23,0.03,80,85,78
GHM00065465,"AXIM, GH",2020/6/24,0.12,81,85,76
GHM00065465,"AXIM, GH",2020/6/25,0.08,80,85,
GHM00065465,"AXIM, GH",2020/6/26,2.72,77,,74
GHM00065465,"AXIM, GH",2020/6/27,,78,,75
GHM00065465,"AXIM, GH",2020/7/1,,81,84,
GHM00065465,"AXIM, GH",2020/7/2,,80,,78
GHM00065465,"AXIM, GH",2020/7/3,,80,84,
GHM00065465,"AXIM, GH",2020/7/4,,79,83,78
GHM00065465,"AXIM, GH",2020/7/5,,79,83,78
GHM00065465,"AXIM, GH",2020/7/6,,80,83,
GHM00065465,"AXIM, GH",2020/7/7,,79,84,78
GHM00065465,"AXIM, GH",2020/7/8,,79,83,78
GHM00065465,"AXIM, GH",2020/7/9,,80,,77
GHM00065465,"AXIM, GH",2020/7/10,,80,83,77
GHM00065465,"AXIM, GH",2020/7/12,,80,83,77
GHM00065465,"AXIM, GH",2020/7/16,,80,83,
GHM00065465,"AXIM, GH",2020/7/17,,77,80,74
GHM00065465,"AXIM, GH",2020/7/18,,77,83,74
GHM00065465,"AXIM, GH",2020/7/19,,77,82,75
GHM00065465,"AXIM, GH",2020/7/22,,78,81,
GHM00065465,"AXIM, GH",2020/7/23,,80,83,
GHM00065465,"AXIM, GH",2020/7/24,,79,82,
GHM00065465,"AXIM, GH",2020/7/25,,79,,76
GHM00065465,"AXIM, GH",2020/7/26,,78,83,76
GHM00065465,"AXIM, GH",2020/7/27,,78,82,75
GHM00065465,"AXIM, GH",2020/7/29,,78,84,75
GHM00065465,"AXIM, GH",2020/8/2,,79,83,75
GHM00065465,"AXIM, GH",2020/8/3,,78,83,
GHM00065465,"AXIM, GH",2020/8/4,,79,83,75
GHM00065465,"AXIM, GH",2020/8/5,,78,82,
GHM00065465,"AXIM, GH",2020/8/6,,79,82,74
GHM00065465,"AXIM, GH",2020/8/8,,80,83,
GHM00065465,"AXIM, GH",2020/8/9,,79,82,75
GHM00065465,"AXIM, GH",2020/8/10,,78,83,
GHM00065465,"AXIM, GH",2020/8/11,,79,85,75
GHM00065465,"AXIM, GH",2020/8/12,,78,83,74
GHM00065465,"AXIM, GH",2020/8/13,,78,82,71
GHM00065465,"AXIM, GH",2020/8/14,,77,,75
GHM00065465,"AXIM, GH",2020/8/19,,78,83,
GHM00065465,"AXIM, GH",2020/8/20,,79,83,
GHM00065465,"AXIM, GH",2020/8/21,,79,83,
GHM00065465,"AXIM, GH",2020/8/22,,78,82,76
GHM00065465,"AXIM, GH",2020/8/24,,78,83,76
GHM00065465,"AXIM, GH",2020/8/25,,79,83,76
GHM00065465,"AXIM, GH",2020/8/26,,78,,75
GHM00065465,"AXIM, GH",2020/8/27,,79,,76
GHM00065465,"AXIM, GH",2020/8/28,,78,83,
GHM00065465,"AXIM, GH",2020/8/29,,79,83,76
GHM00065465,"AXIM, GH",2020/8/30,,79,84,
GHM00065465,"AXIM, GH",2020/9/1,0.01,79,84,76
GHM00065465,"AXIM, GH",2020/9/4,,79,84,76
GHM00065465,"AXIM, GH",2020/9/5,,78,83,76
GHM00065465,"AXIM, GH",2020/9/7,,79,83,77
GHM00065465,"AXIM, GH",2020/9/8,,80,85,76
GHM00065465,"AXIM, GH",2020/9/9,0.12,79,84,76
GHM00065465,"AXIM, GH",2020/9/10,0,79,83,
GHM00065465,"AXIM, GH",2020/9/11,0.02,79,,76
GHM00065465,"AXIM, GH",2020/9/12,0,79,,76
GHM00065465,"AXIM, GH",2020/9/13,,80,,76
GHM00065465,"AXIM, GH",2020/9/14,,80,83,
GHM00065465,"AXIM, GH",2020/9/20,,77,79,
GHM00065465,"AXIM, GH",2020/9/22,,79,83,76
GHM00065465,"AXIM, GH",2020/9/23,,79,83,76
GHM00065465,"AXIM, GH",2020/9/25,,79,,77
GHM00065465,"AXIM, GH",2020/9/30,,79,84,76
GHM00065465,"AXIM, GH",2020/10/1,,80,84,
GHM00065465,"AXIM, GH",2020/10/3,,82,86,
GHM00065465,"AXIM, GH",2020/10/4,,81,86,76
GHM00065465,"AXIM, GH",2020/10/6,0.67,79,85,76
GHM00065465,"AXIM, GH",2020/10/7,0,78,,
GHM00065465,"AXIM, GH",2020/10/8,0.59,80,,76
GHM00065465,"AXIM, GH",2020/10/9,0.28,78,83,
GHM00065465,"AXIM, GH",2020/10/10,2.09,78,83,74
GHM00065465,"AXIM, GH",2020/10/11,0,80,85,75
GHM00065465,"AXIM, GH",2020/10/12,,78,,77
GHM00065465,"AXIM, GH",2020/10/13,,80,,
GHM00065465,"AXIM, GH",2020/10/14,0.28,80,,76
GHM00065465,"AXIM, GH",2020/10/15,0,79,84,
GHM00065465,"AXIM, GH",2020/10/16,0.02,80,84,78
GHM00065465,"AXIM, GH",2020/10/17,0,80,85,
GHM00065465,"AXIM, GH",2020/10/18,,81,,
GHM00065465,"AXIM, GH",2020/10/19,,80,,78
