Date,Price,Open,High,Low,Vol.,Change %
2016/9/27,3.952,3.9504,4.0101,3.9181,,3.06%
2016/9/26,3.8348,3.9504,4.0602,3.8969,,-3.89%
2016/9/23,3.99,3.9504,4.0068,3.9181,,4.05%
2016/9/22,3.8348,3.9504,4.0299,3.8937,,-0.20%
2016/9/21,3.8424,3.9325,4.0222,3.8937,,-0.10%
2016/9/20,3.8462,3.95,4.0426,3.8586,,-0.10%
2016/9/19,3.85,3.9504,4.0075,3.8845,,0.00%
2016/9/16,3.85,3.9504,4.0007,3.8975,,-0.10%
2016/9/15,3.8539,3.95,3.9995,3.8725,,-0.20%
2016/9/14,3.8617,3.945,4.0199,3.8974,,-1.70%
2016/9/13,3.9283,3.9559,4.015,3.898,,-0.10%
2016/9/12,3.9322,3.9559,4.0054,3.8343,,0.66%
2016/9/9,3.9066,3.95,4.0129,3.9075,,0.10%
2016/9/8,3.9027,3.9559,4.0129,3.9005,,-0.10%
2016/9/7,3.9066,3.9559,4.0129,3.8425,,-0.20%
2016/9/6,3.9144,3.9559,4.0194,3.8343,,-0.40%
2016/9/5,3.93,3.9559,4.0211,3.7797,,0.20%
2016/9/2,3.9222,3.9559,4.0206,3.875,,1.44%
2016/9/1,3.8667,3.9559,4.0216,3.8795,,0.03%
2016/8/31,3.8657,3.9559,4.0181,3.85,,0.25%
2016/8/30,3.856,3.975,4.012,3.8293,,0.30%
2016/8/29,3.8443,3.9559,4.0221,3.7797,,-0.75%
2016/8/26,3.8733,3.9559,4.0129,3.8956,,-1.15%
2016/8/25,3.9183,3.955,4.0154,3.8164,,3.69%
2016/8/24,3.7788,3.8604,4.0257,3.8307,,-1.40%
2016/8/23,3.8324,3.935,4.0237,3.825,,-0.51%
2016/8/22,3.8522,3.94,4.0257,3.8293,,0.00%
2016/8/19,3.8522,3.94,4.0097,3.865,,0.10%
2016/8/18,3.8483,3.94,4.02,3.865,,-0.10%
2016/8/17,3.8522,3.945,4.015,3.875,,-0.20%
2016/8/16,3.86,3.95,4.0063,3.86,,0.20%
2016/8/15,3.8522,3.96,4.0093,3.8725,,-1.98%
2016/8/12,3.93,3.938,3.9675,3.8825,,0.04%
2016/8/11,3.9283,3.96,3.9675,3.8775,,0.06%
2016/8/10,3.9261,3.96,3.9675,3.8775,,0.00%
2016/8/9,3.9261,3.96,3.9675,3.88,,-0.35%
2016/8/8,3.94,3.96,3.9687,3.87,,-0.38%
2016/8/5,3.955,3.96,3.985,3.905,,0.64%
2016/8/4,3.93,3.945,3.97,3.91,,0.00%
2016/8/3,3.93,3.9433,3.9713,3.87,,-0.15%
2016/8/2,3.9361,3.9645,3.9666,3.88,,0.10%
2016/8/1,3.9322,3.9645,3.9829,3.86,,2.91%
2016/7/29,3.821,3.9645,3.9875,3.87,,0.00%
2016/7/28,3.821,3.945,3.9725,3.8655,,-2.53%
2016/7/27,3.92,3.945,3.9875,3.879,,2.39%
2016/7/26,3.8286,3.945,3.9875,3.8238,,-0.87%
2016/7/25,3.8622,3.9475,3.9704,3.8775,,-1.63%
2016/7/22,3.9261,3.9475,3.9925,3.8575,,2.07%
2016/7/21,3.8466,3.95,4.0025,3.8775,,-0.20%
2016/7/20,3.8544,3.95,4.005,3.88,,-1.55%
2016/7/19,3.915,3.95,4.0075,3.88,,1.37%
2016/7/18,3.8622,3.95,4.0075,3.8538,,-1.63%
2016/7/15,3.9261,3.95,4.0075,3.83,,0.56%
2016/7/14,3.9044,3.95,4.0078,3.8588,,-0.10%
2016/7/13,3.9083,3.925,4.0085,3.8575,,-0.35%
2016/7/12,3.9222,3.95,4.0075,3.8588,,-0.10%
2016/7/11,3.9261,3.95,3.9875,3.8588,,0.71%
2016/7/8,3.8983,3.95,3.9725,3.8625,,1.72%
2016/7/7,3.8324,3.95,3.98,3.8463,,-2.19%
2016/7/6,3.9183,3.95,3.96,3.8613,,0.21%
2016/7/5,3.91,3.95,3.9705,3.8588,,-0.89%
2016/7/4,3.945,3.95,3.9693,3.85,,0.38%
2016/7/1,3.93,3.95,3.99,3.94,,-0.25%
2016/6/30,3.94,3.95,3.99,3.86,,1.23%
2016/6/29,3.8922,3.92,3.9785,3.8613,,1.46%
2016/6/28,3.8362,3.95,3.984,3.8412,,-1.38%
2016/6/27,3.89,3.925,3.9775,3.835,,0.10%
2016/6/24,3.8861,3.925,3.9575,3.8538,,-0.61%
2016/6/23,3.91,3.925,3.9775,3.8625,,0.36%
2016/6/22,3.8961,3.925,3.9815,3.865,,0.36%
